SMILES,5-HT1A,5-HT2A,5-HT2C,5-HT3A,5-HT4,5-HT6,5-HT7
O=C1COc2ccc(CCN3CCN(CC3)c3nccc4ccccc34)cc2N1,1.1564184200412189,12.622874410912575,178.72727272129416,829.8264513290343,88.42696136963134,509.14582167864756,6.9436884348509125
COc1ccccc1N1CCN(CCN(C(=O)N2CCCCC2)c2cccc(F)n2)CC1,1.157205365409918,380.0672502854315,220.375591153221,1101.8527404272374,1275.4404905341232,1612.4106656619163,135.99904601801188
COc1ccccc1N1CCN(CCN(C(=O)c2ccc(I)cc2)c2ccccn2)CC1,1.1574562295356978,124.24435523162823,220.45085454903145,973.6301678027512,236.31162593449568,1199.3972294555767,45.10166417161462
Cc1ccc2c(cccc2n1)N1CCN(CCc2c(C)ccc3[nH]c(=O)ccc23)CC1,1.1626825615155847,54.597660557350935,24.39249724925704,134.54863887546676,137.7945117319929,165.28623411221767,14.875122674736822
O=c1ccc2ccc(CCN3CCN(CC3)c3cncc4sccc34)cc2[nH]1,1.1629587537746355,2.553855279984197,39.136532545886865,95.18649796469914,10.74092641709745,137.15663020471737,7.554965389292376
CN1CCC(F)(CNC2CC2c2ccccc2)CC1,1.1634586599600358,17.073275630222987,105.56205435424019,518.7395601261386,121.66174927818379,416.05055782032264,3.6066633014801193
Cc1cc2CCN(CCN3CCC(=CC3)c3noc4ccccc34)C(=O)c2cn1,1.1715294360820727,11.533438119107602,14.681424404306986,88.6145176885205,10.95091798088316,88.26252415265462,8.32196335496869
Cc1ccc2c(cccc2n1)N1CCN(CCCc2ccc3OCC(=O)Nc3c2)CC1,1.1732096707152786,51.60985901521017,173.37567347201636,778.8947506568354,52.62949412481869,494.0426563684804,14.551562432643136
FC1(CNC2CC2c2ccccc2)CCN(CC1)S(=O)(=O)CC1CCNCC1,1.1779247785218092,10.644043548247016,61.79879136514052,210.13946384717548,41.644416814112155,206.51207924635506,2.62306196213146
CN1C(=O)CCc2c(CCN3CCN(CC3)c3cccc4nc(C)ccc34)cccc12,1.1831133005700174,14.60156831415956,93.44596444502545,362.6507123916313,28.632167379042606,193.82999657370192,3.4549121504603755
Oc1ccccc1N1CCN(CCN(C(=O)C23CCC(CF)(CC2)CC3)c2ccccn2)CC1,1.1844329765610888,113.10320276690024,44.49488260511191,286.098008910349,123.83360774790233,379.2235770595355,76.10678111699436
C[C@H]1CN(CCN1CCc1cccc2N(C)C(=O)COc12)c1cccc2nc(C)ccc12,1.1845909927256602,7.113709734242443,18.974854458663977,103.7220964897933,5.649198064220647,83.60059762906928,5.7241961859873935
C[C@@H]1CN(CCN1CCc1cccc2N(C)C(=O)COc12)c1cccc2nc(C)ccc12,1.1845909927256602,7.113709734242443,18.974854458663977,103.7220964897933,5.649198064220647,83.60059762906928,5.7241961859873935
COc1cc2CC(CC3(F)CCN(Cc4ccccc4Br)CC3)C(=O)c2cc1OC,1.1905317189754383,25.96286028135018,20.689875182704412,155.54400776156118,76.76949765144072,212.18631800588565,4.220432631171118
CN(C)C\C=C\C(=O)N1CCC(F)(CNc2ncnc(N)c2-c2ccc(Oc3ccccc3)cc2)CC1,1.1913078903136787,1.795840214567741,6.343769024920393,14.622504953386166,1.309520679048455,13.710171268350404,1.8785824674393068
Oc1ccccc1N1CCN(CCN(C(=O)C23C4C5C2C2C3C4C52I)c2ccccn2)CC1,1.1953507924273676,516.5168089754403,174.03088757727318,986.9109193361697,749.3411205563438,1129.4429870219174,175.80843236390066
